Category,Weapon Name,Level,Strength,Upgrade_Hacksilver,Upgrade_Rawhide,Upgrade_Stonewood,Upgrade_Petrified Bone,Runic,Vitality,Cooldown,Luck,Upgrade_Whispering Slab,Upgrade_Hardened Remnants,Upgrade_Skap Slag,Upgrade_Glowing Embers,Upgrade_Celestial Fossil,Upgrade_Petrified Bones,Upgrade_Whispering Slabs,Defense,Upgrade_Essence of Hel,Upgrade_Divine Ashes,Upgrade_Sovereign Coals,Upgrade_Gleaming Crystal,Upgrade_Lindwyrm Scales,Upgrade_Slag Deposits,Upgrade_Honed Metal,Upgrade_Luminous Alloy,Upgrade_Dust of Realms,Upgrade_Fortified Remnants,Upgrade_Blazing Embers,Upgrade_Forsaken Breath,Upgrade_Shining Crystal,Total Stats
Leviathan Axe,Grip of Darkdale,6.0,27.0,6000.0,,,,0.0,0.0,14.0,0.0,,,,,,1.0,,0.0,,,,,,,,,,,,,,41.0
Leviathan Axe,Grip of Darkdale,7.0,32.0,9000.0,,,,0.0,0.0,17.0,0.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,49.0
Leviathan Axe,Grip of Darkdale,8.0,38.0,12000.0,,,,0.0,0.0,20.0,0.0,,,,,,3.0,10.0,0.0,,,,,,,,,,,,,,58.0
Leviathan Axe,Grip of Darkdale,9.0,43.0,16000.0,,,,0.0,0.0,23.0,0.0,,10.0,,,,,20.0,0.0,,,,,,,,,,,,,,66.0
Leviathan Axe,Grip of Darkdale,9.1,48.0,17000.0,,,,0.0,0.0,26.0,0.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,74.0
Leviathan Axe,Grip of Darkdale,9.2,53.0,18000.0,,,,0.0,0.0,28.0,0.0,,,20.0,,,,5.0,0.0,,,,,,,,,,,,,,81.0
Leviathan Axe,Grip of Darkdale,9.3,59.0,19000.0,,,,0.0,0.0,31.0,0.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,90.0
Leviathan Axe,Grip of Darkdale,10.0,64.0,20000.0,,,,0.0,0.0,34.0,0.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,98.0
Leviathan Axe,Haur's Lucky Knob,2.0,4.0,600.0,,,,0.0,0.0,0.0,5.0,,,,,,,,0.0,,,,,,,,,,,,,,9.0
Leviathan Axe,Haur's Lucky Knob,3.0,8.0,800.0,6.0,,,0.0,0.0,0.0,9.0,,,,,,,,0.0,,,,,,,,,,,,,,17.0
Leviathan Axe,Haur's Lucky Knob,4.0,11.0,2400.0,,2.0,,0.0,0.0,0.0,13.0,,,,,,,,0.0,,,,,,,,,,,,,,24.0
Leviathan Axe,Haur's Lucky Knob,5.0,15.0,4000.0,,5.0,,0.0,0.0,0.0,17.0,,,,,,,,0.0,,,,,,,,,,,,,,32.0
Leviathan Axe,Haur's Lucky Knob,6.0,18.0,6000.0,,,1.0,0.0,0.0,0.0,22.0,,,,,,,,0.0,,,,,,,,,,,,,,40.0
Leviathan Axe,Haur's Lucky Knob,7.0,22.0,9000.0,,,2.0,0.0,0.0,0.0,26.0,,,,,,,,0.0,,,,,,,,,,,,,,48.0
Leviathan Axe,Haur's Lucky Knob,8.0,25.0,12000.0,,,3.0,0.0,0.0,0.0,30.0,10.0,,,,,,,0.0,,,,,,,,,,,,,,55.0
Leviathan Axe,Haur's Lucky Knob,9.0,29.0,16000.0,,,,0.0,0.0,0.0,34.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,,63.0
Leviathan Axe,Haur's Lucky Knob,9.1,32.0,17000.0,,,,0.0,0.0,0.0,38.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,70.0
Leviathan Axe,Haur's Lucky Knob,9.2,36.0,18000.0,,,,0.0,0.0,0.0,43.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,79.0
Leviathan Axe,Haur's Lucky Knob,9.3,39.0,19000.0,,,,0.0,0.0,0.0,47.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,86.0
Leviathan Axe,Haur's Lucky Knob,10.0,43.0,20000.0,,,,0.0,0.0,0.0,51.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,94.0
Leviathan Axe,Fortified Frost Knob,2.0,4.0,,,,,0.0,0.0,5.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,9.0
Leviathan Axe,Fortified Frost Knob,3.0,8.0,800.0,6.0,,,0.0,0.0,9.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,17.0
Leviathan Axe,Fortified Frost Knob,4.0,11.0,2400.0,,2.0,,0.0,0.0,13.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,24.0
Leviathan Axe,Fortified Frost Knob,5.0,15.0,4000.0,,5.0,,0.0,0.0,17.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,32.0
Leviathan Axe,Fortified Frost Knob,6.0,18.0,6000.0,,,1.0,0.0,0.0,22.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,40.0
Leviathan Axe,Fortified Frost Knob,7.0,22.0,9000.0,,,2.0,0.0,0.0,26.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,48.0
Leviathan Axe,Fortified Frost Knob,8.0,25.0,12000.0,,,3.0,0.0,0.0,30.0,0.0,10.0,,,,,,,0.0,,,,,,,,,,,,,,55.0
Leviathan Axe,Fortified Frost Knob,9.0,29.0,16000.0,,,,0.0,0.0,34.0,0.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,,63.0
Leviathan Axe,Fortified Frost Knob,9.1,32.0,17000.0,,,,0.0,0.0,38.0,0.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,70.0
Leviathan Axe,Fortified Frost Knob,9.2,36.0,18000.0,,,,0.0,0.0,43.0,0.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,79.0
Leviathan Axe,Fortified Frost Knob,9.3,39.0,19000.0,,,,0.0,0.0,47.0,0.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,86.0
Leviathan Axe,Fortified Frost Knob,10.0,43.0,20000.0,,,,0.0,0.0,51.0,0.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,94.0
Leviathan Axe,Stonecutter's Knob,4.0,18.0,2400.0,,,,0.0,0.0,0.0,0.0,,,,,,,,9.0,,,,,,,,,,,,,,27.0
Leviathan Axe,Stonecutter's Knob,5.0,23.0,4000.0,,5.0,,0.0,0.0,0.0,0.0,,,,,,,,12.0,,,,,,,,,,,,,,35.0
Leviathan Axe,Stonecutter's Knob,6.0,29.0,6000.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,14.0,,,,,,,,,,,,,,43.0
Leviathan Axe,Stonecutter's Knob,7.0,34.0,9000.0,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,17.0,,,,,,,,,,,,,,51.0
Leviathan Axe,Stonecutter's Knob,8.0,40.0,12000.0,,,3.0,0.0,0.0,0.0,0.0,10.0,,,,,,,20.0,,,,,,,,,,,,,,60.0
Leviathan Axe,Stonecutter's Knob,9.0,46.0,16000.0,,,,0.0,0.0,0.0,0.0,20.0,10.0,,,,,,23.0,,,,,,,,,,,,,,69.0
Leviathan Axe,Stonecutter's Knob,9.1,51.0,17000.0,,,,0.0,0.0,0.0,0.0,,,10.0,,,,,26.0,,,,,,,,,,,,,,77.0
Leviathan Axe,Stonecutter's Knob,9.2,57.0,18000.0,,,,0.0,0.0,0.0,0.0,5.0,,20.0,,,,,28.0,,,,,,,,,,,,,,85.0
Leviathan Axe,Stonecutter's Knob,9.3,62.0,19000.0,,,,0.0,0.0,0.0,0.0,,,30.0,10.0,,,,31.0,,,,,,,,,,,,,,93.0
Leviathan Axe,Stonecutter's Knob,10.0,68.0,20000.0,,,,0.0,0.0,0.0,0.0,,,40.0,,1.0,,,34.0,,,,,,,,,,,,,,102.0
Leviathan Axe,Grip of Weighted Recovery,4.0,11.0,2400.0,,,,13.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,24.0
Leviathan Axe,Grip of Weighted Recovery,5.0,15.0,4000.0,,5.0,,17.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,32.0
Leviathan Axe,Grip of Weighted Recovery,6.0,18.0,6000.0,,,1.0,22.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,40.0
Leviathan Axe,Grip of Weighted Recovery,7.0,22.0,9000.0,,,2.0,26.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,48.0
Leviathan Axe,Grip of Weighted Recovery,8.0,25.0,12000.0,,,3.0,30.0,0.0,0.0,0.0,10.0,,,,,,,0.0,,,,,,,,,,,,,,55.0
Leviathan Axe,Grip of Weighted Recovery,9.0,29.0,16000.0,,,,34.0,0.0,0.0,0.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,,63.0
Leviathan Axe,Grip of Weighted Recovery,9.1,32.0,17000.0,,,,38.0,0.0,0.0,0.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,70.0
Leviathan Axe,Grip of Weighted Recovery,9.2,36.0,18000.0,,,,43.0,0.0,0.0,0.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,79.0
Leviathan Axe,Grip of Weighted Recovery,9.3,39.0,19000.0,,,,47.0,0.0,0.0,0.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,86.0
Leviathan Axe,Grip of Weighted Recovery,10.0,43.0,20000.0,,,,51.0,0.0,0.0,0.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,94.0
Leviathan Axe,Grip of Healing Harmony,5.0,15.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,17.0,,,,,,,,,,,,,,32.0
Leviathan Axe,Grip of Healing Harmony,6.0,18.0,6000.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,22.0,,,,,,,,,,,,,,40.0
Leviathan Axe,Grip of Healing Harmony,7.0,22.0,9000.0,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,26.0,,,,,,,,,,,,,,48.0
Leviathan Axe,Grip of Healing Harmony,8.0,25.0,12000.0,,,,0.0,0.0,0.0,0.0,,,,,,,,30.0,4.0,,,,,,,,,,,,,55.0
Leviathan Axe,Grip of Healing Harmony,9.0,29.0,16000.0,,,,0.0,0.0,0.0,0.0,20.0,10.0,,,,,,34.0,,,,,,,,,,,,,,63.0
Leviathan Axe,Grip of Healing Harmony,9.1,32.0,17000.0,,,,0.0,0.0,0.0,0.0,,,10.0,,,,,38.0,,,,,,,,,,,,,,70.0
Leviathan Axe,Grip of Healing Harmony,9.2,36.0,18000.0,,,,0.0,0.0,0.0,0.0,5.0,,20.0,,,,,43.0,,,,,,,,,,,,,,79.0
Leviathan Axe,Grip of Healing Harmony,9.3,39.0,19000.0,,,,0.0,0.0,0.0,0.0,,,30.0,10.0,,,,41.0,,,,,,,,,,,,,,80.0
Leviathan Axe,Grip of Healing Harmony,10.0,43.0,20000.0,,,,0.0,0.0,0.0,0.0,,,40.0,,1.0,,,51.0,,,,,,,,,,,,,,94.0
Leviathan Axe,Grip of the Fallen Alchemist,5.0,15.0,,,,,0.0,12.0,0.0,12.0,,,,,,,,0.0,,,,,,,,,,,,,,39.0
Leviathan Axe,Grip of the Fallen Alchemist,6.0,18.0,6000.0,,,1.0,0.0,14.0,0.0,14.0,,,,,,,,0.0,,,,,,,,,,,,,,46.0
Leviathan Axe,Grip of the Fallen Alchemist,7.0,22.0,9000.0,,,2.0,0.0,17.0,0.0,17.0,,,,,,,,0.0,,,,,,,,,,,,,,56.0
Leviathan Axe,Grip of the Fallen Alchemist,8.0,25.0,12000.0,,,3.0,0.0,20.0,0.0,20.0,10.0,,,,,,,0.0,,,,,,,,,,,,,,65.0
Leviathan Axe,Grip of the Fallen Alchemist,9.0,29.0,16000.0,,,,0.0,23.0,0.0,23.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,,75.0
Leviathan Axe,Grip of the Fallen Alchemist,9.1,32.0,17000.0,,,,0.0,26.0,0.0,26.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,84.0
Leviathan Axe,Grip of the Fallen Alchemist,9.2,36.0,18000.0,,,,0.0,28.0,0.0,28.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,92.0
Leviathan Axe,Grip of the Fallen Alchemist,9.3,39.0,19000.0,,,,0.0,31.0,0.0,31.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,101.0
Leviathan Axe,Grip of the Fallen Alchemist,10.0,43.0,20000.0,,,,0.0,34.0,0.0,34.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,111.0
Leviathan Axe,Runic Hailstone Knob,6.0,14.0,,,,,14.0,0.0,0.0,18.0,,,,,,,,0.0,,,,,,,,,,,,,,46.0
Leviathan Axe,Runic Hailstone Knob,7.0,17.0,9000.0,,,2.0,17.0,0.0,0.0,22.0,,,,,,,,0.0,,,,,,,,,,,,,,56.0
Leviathan Axe,Runic Hailstone Knob,8.0,20.0,12000.0,,,,20.0,0.0,0.0,25.0,,,,,,,,0.0,4.0,,,,,,,,,,,,,65.0
Leviathan Axe,Runic Hailstone Knob,9.0,23.0,16000.0,,,,23.0,0.0,0.0,29.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,,75.0
Leviathan Axe,Runic Hailstone Knob,9.1,26.0,17000.0,,,,26.0,0.0,0.0,32.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,84.0
Leviathan Axe,Runic Hailstone Knob,9.2,28.0,18000.0,,,,28.0,0.0,0.0,36.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,92.0
Leviathan Axe,Runic Hailstone Knob,9.3,31.0,19000.0,,,,31.0,0.0,0.0,39.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,101.0
Leviathan Axe,Runic Hailstone Knob,10.0,34.0,20000.0,,,,34.0,0.0,0.0,43.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,111.0
Leviathan Axe,Banahogg Knob,6.0,18.0,,,,,0.0,22.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,40.0
Leviathan Axe,Banahogg Knob,7.0,22.0,9000.0,,,2.0,0.0,26.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,48.0
Leviathan Axe,Banahogg Knob,8.0,25.0,12000.0,,,,0.0,30.0,0.0,0.0,,,,,,,,0.0,4.0,,,,,,,,,,,,,55.0
Leviathan Axe,Banahogg Knob,9.0,29.0,16000.0,,,,0.0,34.0,0.0,0.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,,63.0
Leviathan Axe,Banahogg Knob,9.1,32.0,17000.0,,,,0.0,38.0,0.0,0.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,70.0
Leviathan Axe,Banahogg Knob,9.2,36.0,18000.0,,,,0.0,43.0,0.0,0.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,79.0
Leviathan Axe,Banahogg Knob,9.3,39.0,19000.0,,,,0.0,47.0,0.0,0.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,86.0
Leviathan Axe,Banahogg Knob,10.0,43.0,20000.0,,,,0.0,51.0,0.0,0.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,94.0
Leviathan Axe,Grip of Radiant Reflection,6.0,25.0,,,,,11.0,0.0,11.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,47.0
Leviathan Axe,Grip of Radiant Reflection,7.0,30.0,,,,,13.0,0.0,13.0,0.0,,,,1.0,,,,0.0,,750.0,,,,,,,,,,,,56.0
Leviathan Axe,Grip of Radiant Reflection,8.0,35.0,,,,,15.0,0.0,15.0,0.0,,,,2.0,,,,0.0,,1250.0,,,,,,,,,,,,65.0
Leviathan Axe,Grip of Radiant Reflection,9.0,40.0,,,,,17.0,0.0,17.0,0.0,20.0,10.0,,,,,,0.0,,1750.0,,,,,,,,,,,,74.0
Leviathan Axe,Grip of Radiant Reflection,9.1,45.0,17000.0,,,,19.0,0.0,19.0,0.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,83.0
Leviathan Axe,Grip of Radiant Reflection,9.2,50.0,18000.0,,,,21.0,0.0,21.0,0.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,92.0
Leviathan Axe,Grip of Radiant Reflection,9.3,55.0,19000.0,,,,23.0,0.0,23.0,0.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,101.0
Leviathan Axe,Grip of Radiant Reflection,10.0,60.0,20000.0,,,,26.0,0.0,26.0,0.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,112.0
Blades of Chaos,Steel Handles,1.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0
Blades of Chaos,Steel Handles,2.0,4.0,400.0,3.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,4.0
Blades of Chaos,Steel Handles,3.0,8.0,800.0,6.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,8.0
Blades of Chaos,Steel Handles,4.0,11.0,2400.0,,2.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,11.0
Blades of Chaos,Steel Handles,5.0,15.0,4000.0,,5.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,15.0
Blades of Chaos,Steel Handles,6.0,18.0,6000.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,18.0
Blades of Chaos,Steel Handles,7.0,22.0,9000.0,,,2.0,13.0,13.0,13.0,13.0,,,,,,,,0.0,,,,,,,,,,,,,,74.0
Blades of Chaos,Steel Handles,8.0,25.0,12000.0,,,3.0,15.0,15.0,15.0,15.0,10.0,,,,,,,0.0,,,,,,,,,,,,,,85.0
Blades of Chaos,Steel Handles,9.0,29.0,16000.0,,,,17.0,17.0,17.0,17.0,20.0,,,3.0,,,,0.0,,,,,,,,,,,,,,97.0
Blades of Chaos,Steel Handles,9.1,32.0,17000.0,,,,19.0,19.0,19.0,19.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,108.0
Blades of Chaos,Steel Handles,9.2,36.0,18000.0,,,,21.0,21.0,21.0,21.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,120.0
Blades of Chaos,Steel Handles,9.3,39.0,19000.0,,,,23.0,23.0,23.0,23.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,131.0
Blades of Chaos,Steel Handles,10.0,43.0,20000.0,,,,26.0,26.0,26.0,26.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,147.0
Blades of Chaos,Darkdale Handles,1.0,3.0,,,,,0.0,0.0,0.0,2.0,,,,,,,,0.0,,,,,,,,,,,,,,5.0
Blades of Chaos,Darkdale Handles,2.0,6.0,400.0,3.0,,,0.0,0.0,0.0,3.0,,,,,,,,0.0,,,,,,,,,,,,,,9.0
Blades of Chaos,Darkdale Handles,3.0,11.0,800.0,6.0,,,0.0,0.0,0.0,6.0,,,,,,,,0.0,,,,,,,,,,,,,,17.0
Blades of Chaos,Darkdale Handles,4.0,17.0,2400.0,,2.0,,0.0,0.0,0.0,9.0,,,,,,,,0.0,,,,,,,,,,,,,,26.0
Blades of Chaos,Darkdale Handles,5.0,22.0,4000.0,,5.0,,0.0,0.0,0.0,12.0,,,,,,,,0.0,,,,,,,,,,,,,,34.0
Blades of Chaos,Darkdale Handles,6.0,27.0,6000.0,,,,0.0,0.0,0.0,4.0,,,,,,1.0,,0.0,,,,,,,,,,,,,,31.0
Blades of Chaos,Darkdale Handles,7.0,32.0,9000.0,,,,0.0,0.0,0.0,17.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,49.0
Blades of Chaos,Darkdale Handles,8.0,38.0,12000.0,,,,0.0,0.0,0.0,20.0,,,,,,3.0,10.0,0.0,,,,,,,,,,,,,,58.0
Blades of Chaos,Darkdale Handles,9.0,43.0,16000.0,,,,0.0,0.0,0.0,23.0,,,,3.0,,,20.0,0.0,,,,,,,,,,,,,,66.0
Blades of Chaos,Darkdale Handles,9.1,48.0,17000.0,,,,0.0,0.0,0.0,26.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,74.0
Blades of Chaos,Darkdale Handles,9.2,53.0,18000.0,,,,0.0,0.0,0.0,28.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,81.0
Blades of Chaos,Darkdale Handles,9.3,59.0,19000.0,,,,0.0,0.0,0.0,31.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,90.0
Blades of Chaos,Darkdale Handles,10.0,64.0,20000.0,,,,0.0,0.0,0.0,34.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,98.0
Blades of Chaos,Deadly Obsidian Handles,1.0,4.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,4.0
Blades of Chaos,Deadly Obsidian Handles,2.0,8.0,400.0,3.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,8.0
Blades of Chaos,Deadly Obsidian Handles,3.0,12.0,800.0,6.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,12.0
Blades of Chaos,Deadly Obsidian Handles,4.0,18.0,2400.0,,2.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,18.0
Blades of Chaos,Deadly Obsidian Handles,5.0,26.0,4000.0,,5.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,26.0
Blades of Chaos,Deadly Obsidian Handles,6.0,36.0,6000.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,36.0
Blades of Chaos,Deadly Obsidian Handles,7.0,47.0,9000.0,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,47.0
Blades of Chaos,Deadly Obsidian Handles,8.0,55.0,12000.0,,,3.0,0.0,0.0,0.0,0.0,10.0,,,,,,,0.0,,,,,,,,,,,,,,55.0
