Set Name,Piece Type,Piece Name,Level,Strength,Defense,Upgrade_Hacksilver,Upgrade_Forged Iron,Upgrade_Asgardian Ingot,Runic,Vitality,Cooldown,Luck,Upgrade_Bonded Leather,Upgrade_Smoldering Embers,Upgrade_Skap Slag,Upgrade_Smouldering Embers,Upgrade_Mountain Root,Upgrade_Dwarven Steel,Upgrade_Tempered Remnants,Upgrade_Sparkling Crystal,Upgrade_Asgardian Ingots,Upgrade_Dwaren Steel,Upgrade_Nidavellir Ore,Upgrade_Purified Crystalline,Upgrade_s Broken Cuirass,Upgrade_s Broken Bracers,Upgrade_s Broken Belt,Upgrade_Divine Ashes,Upgrade_Dragon Tooth,Upgrade_Dragon Claw,Total Stats
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,9.1,83.0,50.0,27500.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,133.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,9.2,92.0,55.0,30000.0,,,,,,,5.0,,10.0,,,,,,,,,,,,,,,,147.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,9.3,101.0,60.0,32500.0,,,,,,,,,20.0,10.0,,,,,,,,,,,,,,,161.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,10.0,110.0,65.0,35000.0,,,,,,,,,30.0,,1.0,,,,,,,,,,,,,,175.0
Fortified Husk Set,Waist,Fortified Husk Girdle,1.0,,6.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0
Fortified Husk Set,Waist,Fortified Husk Girdle,2.0,,17.0,600.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,17.0
Fortified Husk Set,Waist,Fortified Husk Girdle,3.0,,29.0,1200.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,29.0
Fortified Husk Set,Waist,Fortified Husk Girdle,4.0,,42.0,4000.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,42.0
Fortified Husk Set,Waist,Fortified Husk Girdle,5.0,,56.0,6500.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,56.0
Fortified Husk Set,Waist,Fortified Husk Girdle,6.0,,72.0,10000.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,72.0
Fortified Husk Set,Waist,Fortified Husk Girdle,7.0,,91.0,13500.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,91.0
Fortified Husk Set,Waist,Fortified Husk Girdle,8.0,,105.0,16500.0,,3.0,,,,,10.0,,,,,,,,,,,,,,,,,,105.0
Fortified Husk Set,Waist,Fortified Husk Girdle,9.0,,119.0,25000.0,,,,,,,20.0,,,,,,,10.0,,,,,,,,,,,119.0
Fortified Husk Set,Waist,Fortified Husk Girdle,9.1,,133.0,27500.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,133.0
Fortified Husk Set,Waist,Fortified Husk Girdle,9.2,,147.0,30000.0,,,,,,,5.0,,10.0,,,,,,,,,,,,,,,,147.0
Fortified Husk Set,Waist,Fortified Husk Girdle,9.3,,161.0,32500.0,,,,,,,,,20.0,10.0,,,,,,,,,,,,,,,161.0
Fortified Husk Set,Waist,Fortified Husk Girdle,10.0,,175.0,35000.0,,,,,,,,,30.0,,1.0,,,,,,,,,,,,,,175.0
Vidar's Set,Chest,Vidar's Pauldron of Might,1.0,5.0,3.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Vidar's Set,Chest,Vidar's Pauldron of Might,2.0,16.0,11.0,1000.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,27.0
Vidar's Set,Chest,Vidar's Pauldron of Might,3.0,26.0,18.0,2000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,44.0
Vidar's Set,Chest,Vidar's Pauldron of Might,4.0,39.0,25.0,6000.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,64.0
Vidar's Set,Chest,Vidar's Pauldron of Might,5.0,54.0,32.0,10000.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,86.0
Vidar's Set,Chest,Vidar's Pauldron of Might,6.0,70.0,40.0,15000.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,110.0
Vidar's Set,Chest,Vidar's Pauldron of Might,7.0,88.0,52.0,20000.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,140.0
Vidar's Set,Chest,Vidar's Pauldron of Might,8.0,102.0,60.0,25000.0,,5.0,,,,,20.0,,,,,,,,,,,,,,,,,,162.0
Vidar's Set,Chest,Vidar's Pauldron of Might,9.0,116.0,68.0,35000.0,,,,,,,40.0,2.0,,,,,,,,,,,,,,,,,184.0
Vidar's Set,Wrist,Vidar's Bracers of Might,1.0,5.0,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Vidar's Set,Wrist,Vidar's Bracers of Might,2.0,17.0,,600.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,17.0
Vidar's Set,Wrist,Vidar's Bracers of Might,3.0,28.0,,1200.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,28.0
Vidar's Set,Wrist,Vidar's Bracers of Might,4.0,40.0,,4000.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,40.0
Vidar's Set,Wrist,Vidar's Bracers of Might,5.0,54.0,,6500.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,54.0
Vidar's Set,Wrist,Vidar's Bracers of Might,6.0,69.0,,10000.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,69.0
Vidar's Set,Wrist,Vidar's Bracers of Might,7.0,88.0,,13500.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,88.0
Vidar's Set,Wrist,Vidar's Bracers of Might,8.0,101.0,,16500.0,,3.0,,,,,10.0,,,,,,,,,,,,,,,,,,101.0
Vidar's Set,Wrist,Vidar's Bracers of Might,9.0,115.0,,25000.0,,,,,,,20.0,,,,,,5.0,,,,,,,,,,,,115.0
Vidar's Set,Wrist,Vidar's Bracers of Might,9.1,128.0,,27500.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,128.0
Vidar's Set,Wrist,Vidar's Bracers of Might,9.2,142.0,,30000.0,,,,,,,5.0,,10.0,,,,,,,,,,,,,,,,142.0
Vidar's Set,Wrist,Vidar's Bracers of Might,9.3,155.0,,32500.0,,,,,,,,,20.0,10.0,,,,,,,,,,,,,,,155.0
Vidar's Set,Wrist,Vidar's Bracers of Might,10.0,169.0,,35000.0,,,,,,,,,30.0,,1.0,,,,,,,,,,,,,,169.0
Vidar's Set,Waist,Vidar's Belt of Might,1.0,3.0,2.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Vidar's Set,Waist,Vidar's Belt of Might,2.0,6.0,11.0,600.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,17.0
Vidar's Set,Waist,Vidar's Belt of Might,3.0,8.0,19.0,1200.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,27.0
Vidar's Set,Waist,Vidar's Belt of Might,4.0,13.0,28.0,4000.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,41.0
Vidar's Set,Waist,Vidar's Belt of Might,5.0,18.0,36.0,6500.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,54.0
Vidar's Set,Waist,Vidar's Belt of Might,6.0,24.0,45.0,10000.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,69.0
Vidar's Set,Waist,Vidar's Belt of Might,7.0,31.0,56.0,13500.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,87.0
Vidar's Set,Waist,Vidar's Belt of Might,8.0,36.0,65.0,16500.0,,3.0,,,,,10.0,,,,,,,,,,,,,,,,,,101.0
Vidar's Set,Waist,Vidar's Belt of Might,9.0,40.0,74.0,25000.0,,,,,,,20.0,,,,,,,10.0,,,,,,,,,,,114.0
Vidar's Set,Waist,Vidar's Belt of Might,9.1,45.0,83.0,27500.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,128.0
Vidar's Set,Waist,Vidar's Belt of Might,9.2,49.0,92.0,30000.0,,,,,,,5.0,,10.0,,,,,,,,,,,,,,,,141.0
Vidar's Set,Waist,Vidar's Belt of Might,9.3,54.0,101.0,32500.0,,,,,,,,,20.0,10.0,,,,,,,,,,,,,,,155.0
Vidar's Set,Waist,Vidar's Belt of Might,10.0,58.0,110.0,35000.0,,,,,,,,,30.0,,1.0,,,,,,,,,,,,,,168.0
Black Bear Set,Chest,Cloak of the Black Bear,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Black Bear Set,Chest,Cloak of the Black Bear,2.0,13.0,13.0,1000.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,26.0
Black Bear Set,Chest,Cloak of the Black Bear,3.0,24.0,24.0,2000.0,10.0,,,,8.0,,,,,,,,,,,,,,,,,,,,56.0
Black Bear Set,Chest,Cloak of the Black Bear,4.0,34.0,34.0,6000.0,,,,,11.0,,,,,,,4.0,,,,,,,,,,,,,79.0
Black Bear Set,Chest,Cloak of the Black Bear,5.0,43.0,43.0,10000.0,,,,,14.0,,,,,,,8.0,,,,,,,,,,,,,100.0
Black Bear Set,Chest,Cloak of the Black Bear,6.0,53.0,53.0,15000.0,,2.0,,,18.0,,,,,,,,,,,,,,,,,,,,124.0
Black Bear Set,Chest,Cloak of the Black Bear,7.0,62.0,62.0,20000.0,,4.0,,,21.0,,,,,,,,,,,,,,,,,,,,145.0
Black Bear Set,Chest,Cloak of the Black Bear,8.0,72.0,72.0,25000.0,,5.0,,,24.0,,20.0,,,,,,,,,,,,,,,,,,168.0
Black Bear Set,Chest,Cloak of the Black Bear,9.0,82.0,82.0,35000.0,,20.0,,,27.0,,40.0,,,,,,,,,,,,,,,,,,191.0
Black Bear Set,Chest,Cloak of the Black Bear,9.1,91.0,91.0,37500.0,,,,,30.0,,,,10.0,,,,,,,,,,,,,,,,212.0
Black Bear Set,Chest,Cloak of the Black Bear,9.2,101.0,101.0,40000.0,,,,,34.0,,10.0,,15.0,,,,,,,,,,,,,,,,236.0
Black Bear Set,Chest,Cloak of the Black Bear,9.3,110.0,110.0,42500.0,,,,,37.0,,,,30.0,20.0,,,,,,,,,,,,,,,257.0
Black Bear Set,Chest,Cloak of the Black Bear,10.0,120.0,120.0,45000.0,,,,,40.0,,,,50.0,,1.0,,,,,,,,,,,,,,280.0
Black Bear Set,Wrist,Wraps of the Black Bear,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Black Bear Set,Wrist,Wraps of the Black Bear,2.0,14.0,2.0,600.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,16.0
Black Bear Set,Wrist,Wraps of the Black Bear,3.0,25.0,5.0,1200.0,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,35.0
Black Bear Set,Wrist,Wraps of the Black Bear,4.0,35.0,7.0,4000.0,,,,,7.0,,,,,,,2.0,,,,,,,,,,,,,49.0
Black Bear Set,Wrist,Wraps of the Black Bear,5.0,45.0,9.0,6500.0,,,,,9.0,,,,,,,4.0,,,,,,,,,,,,,63.0
Black Bear Set,Wrist,Wraps of the Black Bear,6.0,55.0,11.0,10000.0,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,77.0
Black Bear Set,Wrist,Wraps of the Black Bear,7.0,6.0,13.0,13500.0,,2.0,,,13.0,,,,,,,,,,,,,,,,,,,,32.0
Black Bear Set,Wrist,Wraps of the Black Bear,8.0,75.0,15.0,16500.0,,,,,15.0,,10.0,,,,,,,,3.0,,,,,,,,,,105.0
Black Bear Set,Wrist,Wraps of the Black Bear,9.0,85.0,17.0,25000.0,,15.0,,,17.0,,20.0,,,,,,,,,,,,,,,,,,119.0
Black Bear Set,Wrist,Wraps of the Black Bear,9.1,95.0,19.0,27500.0,,,,,19.0,,,,5.0,,,,,,,,,,,,,,,,133.0
Black Bear Set,Wrist,Wraps of the Black Bear,9.2,105.0,21.0,30000.0,,,,,21.0,,5.0,,10.0,,,,,,,,,,,,,,,,147.0
Black Bear Set,Wrist,Wraps of the Black Bear,9.3,115.0,23.0,32500.0,,,,,23.0,,,,20.0,10.0,,,,,,,,,,,,,,,161.0
Black Bear Set,Wrist,Wraps of the Black Bear,10.0,125.0,25.0,35000.0,,,,,25.0,,,,30.0,,1.0,,,,,,,,,,,,,,175.0
Black Bear Set,Waist,Belt of the Black Bear,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Black Bear Set,Waist,Belt of the Black Bear,2.0,2.0,14.0,600.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,16.0
Black Bear Set,Waist,Belt of the Black Bear,3.0,5.0,25.0,1200.0,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,35.0
Black Bear Set,Waist,Belt of the Black Bear,4.0,7.0,35.0,4000.0,,,,,7.0,,,,,,,2.0,,,,,,,,,,,,,49.0
Black Bear Set,Waist,Belt of the Black Bear,5.0,9.0,15.0,6500.0,,,,,9.0,,,,,,,4.0,,,,,,,,,,,,,33.0
Black Bear Set,Waist,Belt of the Black Bear,6.0,11.0,55.0,10000.0,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,77.0
Black Bear Set,Waist,Belt of the Black Bear,7.0,13.0,65.0,13500.0,,2.0,,,13.0,,,,,,,,,,,,,,,,,,,,91.0
Black Bear Set,Waist,Belt of the Black Bear,8.0,15.0,75.0,16500.0,,,,,15.0,,10.0,,,,,,,,3.0,,,,,,,,,,105.0
Black Bear Set,Waist,Belt of the Black Bear,9.0,17.0,85.0,25000.0,,,,,17.0,,20.0,,,,,,,,15.0,,,,,,,,,,119.0
Black Bear Set,Waist,Belt of the Black Bear,9.1,19.0,95.0,27500.0,,,,,19.0,,,,5.0,,,,,,,,,,,,,,,,133.0
Black Bear Set,Waist,Belt of the Black Bear,9.2,21.0,105.0,30000.0,,,,,21.0,,5.0,,10.0,,,,,,,,,,,,,,,,147.0
Black Bear Set,Waist,Belt of the Black Bear,9.3,23.0,115.0,32500.0,,,,,23.0,,,,20.0,10.0,,,,,,,,,,,,,,,161.0
Black Bear Set,Waist,Belt of the Black Bear,10.0,25.0,125.0,35000.0,,,,,25.0,,,,30.0,,1.0,,,,,,,,,,,,,,175.0
Risen Snow Set,Chest,Risen Snow Breastplate,1.0,4.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,9.0
Risen Snow Set,Chest,Risen Snow Breastplate,2.0,12.0,12.0,1000.0,5.0,,,,,2.0,,,,,,,,,,,,,,,,,,,26.0
Risen Snow Set,Chest,Risen Snow Breastplate,3.0,20.0,20.0,2000.0,10.0,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,52.0
Risen Snow Set,Chest,Risen Snow Breastplate,4.0,28.0,28.0,6000.0,,,,,8.0,8.0,,,,,,,,,,4.0,,,,,,,,,72.0
Risen Snow Set,Chest,Risen Snow Breastplate,5.0,36.0,36.0,10000.0,,,,,14.0,14.0,,,,,,8.0,,,,,,,,,,,,,100.0
Risen Snow Set,Chest,Risen Snow Breastplate,6.0,44.0,44.0,15000.0,,2.0,,,18.0,18.0,,,,,,,,,,,,,,,,,,,124.0
Risen Snow Set,Chest,Risen Snow Breastplate,7.0,52.0,52.0,20000.0,,4.0,,,26.0,26.0,,,,,,,,,,,,,,,,,,,156.0
Risen Snow Set,Chest,Risen Snow Breastplate,8.0,60.0,60.0,25000.0,,5.0,,,3.0,30.0,20.0,,,,,,,,,,,,,,,,,,153.0
Risen Snow Set,Chest,Risen Snow Breastplate,9.0,68.0,68.0,35000.0,,,,,34.0,34.0,4.0,2.0,,,,,,,,,,,,,,,,,204.0
Risen Snow Set,Chest,Risen Snow Breastplate,9.1,76.0,76.0,37500.0,,,,,38.0,38.0,,,10.0,,,,,,,,,,,,,,,,228.0
Risen Snow Set,Chest,Risen Snow Breastplate,9.2,84.0,84.0,40000.0,,,,,42.0,42.0,10.0,,15.0,,,,,,,,,,,,,,,,252.0
Risen Snow Set,Chest,Risen Snow Breastplate,9.3,92.0,92.0,42500.0,,,,,46.0,46.0,,,30.0,20.0,,,,,,,,,,,,,,,276.0
Risen Snow Set,Chest,Risen Snow Breastplate,10.0,100.0,100.0,45000.0,,,,,50.0,50.0,,,50.0,,1.0,,,,,,,,,,,,,,300.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,1.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,2.0,15.0,,600.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,17.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,3.0,25.0,,1200.0,5.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,33.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,4.0,35.0,,4000.0,,,,,5.0,5.0,,,,,,2.0,,,,,,,,,,,,,45.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,5.0,45.0,,6500.0,,,,,9.0,9.0,,,,,,4.0,,,,,,,,,,,,,63.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,6.0,55.0,,10000.0,,1.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,77.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,7.0,65.0,,13500.0,,2.0,,,16.0,16.0,,,,,,,,,,,,,,,,,,,97.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,8.0,75.0,,16500.0,,3.0,,,19.0,19.0,10.0,,,,,,,,,,,,,,,,,,113.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,9.0,85.0,,25000.0,,,,,21.0,21.0,20.0,,,,,,5.0,,,,,,,,,,,,127.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,9.1,95.0,,27500.0,,,,,24.0,24.0,,,5.0,,,,,,,,,,,,,,,,143.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,9.2,105.0,,30000.0,,,,,26.0,26.0,5.0,,10.0,,,,,,,,,,,,,,,,157.0
